japanese_name,english_name,debut,affiliations,origin,age,birthday,blood_type,bounty,description,devil_fruit_name,avatar_src
レモンチーズ,Lemoncheese,Chapter 906; Episode 884,Levely,N/A,N/A,N/A,N/A,N/A,"Lemoncheese is the queen of Bestland Kingdom (ベストランド王国, Besutorando Ōkoku?) and one of fifty monarchs who took part in the Levely.",N/A,https://onepieceql.s3.amazonaws.com/Lemoncheese_Anime.jpg
ラッスー,Lassoo,Chapter 160; Episode 103,New Spiders Cafe; Baroque Works (former),N/A,N/A,January 4th,N/A,N/A,"Lassoo is Mr. 4's gun that consumed a Devil Fruit through some unknown method which allows it to become a living dog. He is classified as a Type D creature, ""Small Savage"".","Inu Inu no Mi, Model: Dachshund",https://onepieceql.s3.amazonaws.com/Lassoo_Anime.jpg
グラバー,Grabba,Chapter 717; Episode 647,Tontatta Kingdom,N/A,N/A,N/A,N/A,N/A,Grabar is a dwarf from Tontatta Kingdom who first appeared on Green Bit. She is Leo's grandmother.,N/A,https://onepieceql.s3.amazonaws.com/Grabar_Anime.jpg
ヒョウタウロス,Hyoutauros,Chapter 658; Episode 582,Caesar Clown; Centaur Patrol Unit,N/A,N/A,N/A,N/A,N/A,Hyoutauros is a jaguar centaur and member of the Centaur Patrol Unit on Punk Hazard.,N/A,https://onepieceql.s3.amazonaws.com/Hyoutauros_Anime.jpg
ヒート,Heat,Chapter 500; Episode 394,Kid Pirates,South Blue,N/A,December 1st,N/A,N/A,Heat is a member of the Kid Pirates.,N/A,https://onepieceql.s3.amazonaws.com/Heat_Anime.jpg
リフォルト,Reforte,Chapter 556; Episode 465,Whitebeard Pirates,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://onepieceql.s3.amazonaws.com/Reforte_Anime.jpg
レオネロ,Leonero,Chapter 552; Episode 461,Spade Pirates,N/A,N/A,N/A,N/A,N/A,Leonero is a member of the Spade Pirates.,N/A,https://onepieceql.s3.amazonaws.com/Leonero_Anime.jpg
ヘッポコ,Heppoko,Chapter 2; Episode 1,Alvida Pirates,East Blue,N/A,September 2nd,N/A,N/A,Heppoko is a member of the Alvida Pirates and the older triplet brother of Peppoko and Poppoko.,N/A,https://onepieceql.s3.amazonaws.com/Heppoko_Anime.jpg
ヘルメッポ,Helmeppo,Chapter 3; Episode 2,Marines (Headquarters; SWORD) (formerly 153rd Branch),N/A,20 (debut) 22 (after timeskip),July 16th,S,N/A,"Lieutenant Commander Helmeppo is a Marine officer and the son of ex-Marine Captain ""Axe-Hand"" Morgan. Once a civilian who shamelessly exploited his father's status, he (together with Koby) underwent extensive training under Vice Admiral Garp to become a full-fledged serviceman, currently holding the rank of lieutenant commander. He is also a member of the secret group known as SWORD.",N/A,https://onepieceql.s3.amazonaws.com/Helmeppo_Anime_Post_Timeskip.jpg
悪リリス,Lilith,Chapter 1061; Episode 1090,Marines (SSG),N/A,N/A,N/A,N/A,N/A,"Lilith, also designated as Punk-02 (PUNK-02パンク ツー, Panku-Tsū?), is one of six satellites of Dr. Vegapunk, embodying his aspect of ""evil"".",N/A,https://onepieceql.s3.amazonaws.com/Lilith_Anime.jpg
ラオGジー,Lao G,Chapter 682; Episode 608,Donquixote Pirates,North Blue,70,October 7th,F,"61,000,000",Lao G is an officer of the Donquixote Pirates' Diamante Army.,N/A,https://onepieceql.s3.amazonaws.com/Lao_G_Anime.jpg
ライムジュース,Lime Juice,Chapter 1; Episode 4,Red Hair Pirates,N/A,N/A,N/A,N/A,N/A,Limejuice is one of the Senior Officers of the Red Hair Pirates.,N/A,https://onepieceql.s3.amazonaws.com/Limejuice_Anime.jpg
ナポレオン,Napoleon,Chapter 651; Episode 571,Big Mom Pirates; Rocks Pirates (former),N/A,At least 38,December 2nd,N/A,N/A,"Napoleon the Bicorne is a homie taking the form of a bicorne hat that is worn by Big Mom. He can also become a sword homie that Big Mom uses in combat. He is a special kind of homie, as he received a soul fragment from Big Mom herself, and serves as one of her personal weapons alongside Prometheus and Hera, and formerly Zeus.",N/A,https://onepieceql.s3.amazonaws.com/Napoleon_Anime.jpg
カネシロ,Kaneshiro,Chapter 72; Episode 31,Arlong Pirates; Sun Pirates (former),"Grand Line (Ryugu Kingdom, Fish-Man Island)",N/A,December 2nd,N/A,N/A,Kaneshiro is the shipwright of the Arlong Pirates and a goldfish fish-man. He was previously a member of the Sun Pirates.,N/A,https://onepieceql.s3.amazonaws.com/Kaneshiro_Anime.jpg
ジンベエ,Jimbei; Jinbe (OPCG),Chapter 528; Episode 430,Straw Hat Pirates; Straw Hat Grand Fleet; Sun Pirates (former); Ally of the Big Mom Pirates (former); Seven Warlords of the Sea (former); Ryugu Kingdom (resigned); Impel Down (former); Ninja-Pirate-Mink-Samurai Alliance (disbanded),"Grand Line (Ryugu Kingdom, Fish-Man Island)",44 (debut) 46 (after timeskip),April 2nd,F,"1,100,000,000 438,000,000 250,000,000 76,000,000","""Knight of the Sea"" Jinbe is the helmsman of the Straw Hat Pirates and one of the Senior Officers of the Straw Hat Grand Fleet. He is the tenth member of the crew and the ninth to join, doing so during the Wano Country Arc.",N/A,https://onepieceql.s3.amazonaws.com/Jinbe_Anime.jpg
ゴッティ,Gotti,Chapter 825; Episode 783,Fire Tank Pirates,West Blue,33,May 21st,S,"90,000,000","""Hit Man"" Gotti is an assassin, a combatant in the Fire Tank Pirates, and the husband of Charlotte Lola.",N/A,https://onepieceql.s3.amazonaws.com/Gotti_Anime.jpg
ヒョウゾウ,Hyouzou,Chapter 607; Episode 527,New Fish-Man Pirates,Grand Line (Ryugu Kingdom; Fish-Man Island),39,April 18th,X,N/A,"Hyouzou is a poisonous blue-ringed octopus merman. Prior to his imprisonment, he was a mercenary and working as the New Fish-Man Pirates' assassin, and later became one of the officers. Hyouzou was also known as the best swordsman on Fish-Man Island.",N/A,https://onepieceql.s3.amazonaws.com/Hyouzou_Anime.jpg
オクトパ子,Octopako,Chapter 203 (cover); Episode 531‎,N/A,Grand Line (Ryugu Kingdom; Fish-Man Island),N/A,August 5th,N/A,N/A,"Octopako is an octopus fish-woman whom Hatchan tried to win over during his cover story, Hatchan's Sea-Floor Stroll.",N/A,https://onepieceql.s3.amazonaws.com/Octopako_Anime.jpg
ミス・マザーズデー,Miss Mother's Day,Chapter 155; Episode 91 (mentioned),Baroque Works,N/A,N/A,N/A,N/A,N/A,"Miss Mother's Day is the partner of Mr. 6 and a Frontier Agent in the Baroque Works rankings. She was first mentioned by Nefertari Vivi, who explained how Baroque Works was organized to the Straw Hat Pirates.",N/A,https://onepieceql.s3.amazonaws.com/NoPicAvailable.jpg
チヤ,N/A,Chapter 287; Episode 187,Shandia,Jaya,N/A,N/A,N/A,N/A,"Chiya was the Shandia Pantri that lived over 400 years ago, who died of Tree Fever.",N/A,https://onepieceql.s3.amazonaws.com/Chiya_Anime.jpg
ジープ,N/A,Chapter 906; Episode 884,Levely,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://onepieceql.s3.amazonaws.com/Jeep_Anime.jpg
チムニー,Chimney,Chapter 322; Episode 229,Kokoro,Grand Line (Water 7),8 (debut) 10 (after timeskip),June 2nd,S,N/A,"Chimney is the granddaughter of Sea Train conductor Kokoro, her only mermaid grandparent, making Chimney 1/4 mermaid. She is the owner of a rabbit named Gonbe (whom Chimney thinks is a cat).",N/A,https://onepieceql.s3.amazonaws.com/Chimney_Manga_Post_Timeskip.jpg
オイデー,N/A,Chapter 909; Episode 890,N/A,N/A,N/A,N/A,N/A,N/A,Oide is a little girl who lives in Sphinx. She is the owner of Tama.,N/A,https://onepieceql.s3.amazonaws.com/Oide_Anime.jpg
お蝶,Ocho,Chapter 952; Episode 946,N/A,N/A,N/A,N/A,N/A,N/A,"Moonflower O-Cho is a yakuza boss of the Ringo region of Wano Country. She was imprisoned in Udon by the Beasts Pirates, but was freed when Luffy took over the prison.",N/A,https://onepieceql.s3.amazonaws.com/Cho_Anime.jpg
マクロ,Macro,Chapter 197 (cover); Episode 386,Macro Pirates; Sun Pirates (former),Grand Line (Ryugu Kingdom; Fish-Man Island),N/A,September 6th,N/A,N/A,Macro is a pelican eel fish-man and the captain of the Macro Pirates. He first appeared in Hatchan's Sea-Floor Stroll cover story. He was also a member of the Sun Pirates.,N/A,https://onepieceql.s3.amazonaws.com/Macro_Anime.jpg
モーガン,Morgan,Chapter 4; Episode 2,"Marines (153rd Branch) (former, defected)",N/A,42 (debut) 44 (after timeskip),April 13th,XF,N/A,"""Axe-Hand"" Morgan is a former Marine captain, the father of Helmeppo and the first significant Marine officer to appear in the storyline. After his defeat by Monkey D. Luffy and Roronoa Zoro, he was stripped of his rank for his many abuses of power.",N/A,https://onepieceql.s3.amazonaws.com/Morgan_Anime.jpg
リンドバーグ,Lindbergh,Chapter 904; Episode 880,Revolutionary Army (South Army),N/A,37,May 21st,F,"316,000,000","Lindbergh, or ""Lind"" for short, is a cat mink and the commander of the South Army in the Revolutionary Army.",N/A,https://onepieceql.s3.amazonaws.com/Lindbergh_Anime.jpg
パームス,Palms,Chapter 553; Episode 470,His own crew; Ally of the Whitebeard Pirates,N/A,N/A,March 11th,N/A,N/A,N/A,N/A,https://onepieceql.s3.amazonaws.com/Palms_Anime.jpg
チョコポリス,Choco-Police (VIZ); Chocopolice (Funimation),Chapter 827; Episode 786,Cacao Island,N/A,N/A,N/A,N/A,N/A,Choco Police is a police officer in charge of watching over Chocolat Town on Cacao Island.,N/A,https://onepieceql.s3.amazonaws.com/Choco_Police_Anime.jpg
おかめ,Okame,Chapter 163; Episode 100,Suna Suna Clan (former); Rebel Army,N/A,N/A,N/A,N/A,N/A,Okame was a member of the Suna Suna Clan along with Vivi and Koza.,N/A,https://onepieceql.s3.amazonaws.com/Okame_Anime.jpg
ミゼルカ,Mizerka,Chapter 978; Episode 982,N/A,N/A,N/A,N/A,N/A,N/A,"Mizerka is a Shinuchi in the Beasts Pirates. During the raid on Onigashima, she was tamed by the power of the Kibi Kibi no Mi and joined the side of the Ninja-Pirate-Mink-Samurai Alliance.",N/A,https://onepieceql.s3.amazonaws.com/Mizerka_Anime.jpg
オーム,Ohm,Chapter 241; Episode 155,God's Army (former),Sky Islands (Birka),27 (debut) 29 (after timeskip),March 25th,XF,N/A,"Skybreeder Ohm is one of four priests of the former God Enel and a high-ranking member of God's Army. Together with his giant dog steed Holy, he subjected God's enemies to the Ordeal of Iron on Upper Yard. Due to his affiliation and actions, he is a major antagonist in the Skypiea Arc.",N/A,https://onepieceql.s3.amazonaws.com/Ohm_Anime.jpg
オコメ,Ryce,Chapter 224; Episode 146,Hokahoka Pirates,N/A,N/A,N/A,N/A,N/A,Okome is the first mate and the only known member of the Hokahoka Pirates.,N/A,https://onepieceql.s3.amazonaws.com/Okome_Anime.jpg
モンジイ,Mon-ji,Chapter 807; Episode 756,Mokomo Dukedom,N/A,N/A,N/A,N/A,N/A,Monjii is a monkey mink.,N/A,https://onepieceql.s3.amazonaws.com/Monjii_Anime.jpg
アウトルック3世,Outlook III,Chapter 585; Episode 496,Goa Kingdom (High Town),N/A,N/A,N/A,N/A,N/A,"Outlook III is a noble living in the Goa Kingdom on Dawn Island and is the husband of Didit, Sabo's biological father, and Sterry’s adoptive father.",N/A,https://onepieceql.s3.amazonaws.com/Outlook_III_Anime.jpg
オイモ,Oimo,Chapter 377; Episode 265,"World Government (defected), Giant Warrior Pirates",Grand Line (Elbaf),151 (debut) 153 (after timeskip),January 6th,F,N/A,Oimo is a giant from Elbaf and a member of the Giant Warrior Pirates under Dorry and Brogy.,N/A,https://onepieceql.s3.amazonaws.com/Oimo_Anime.jpg
パガヤ,Pagaya,Chapter 239; Episode 154,N/A,Grand Line (Skypiea),52 (debut) 54 (after timeskip),August 17th,F,N/A,Pagaya is Conis' father and a native to Skypiea who fixed the waver that Nami rides.,N/A,https://onepieceql.s3.amazonaws.com/Pagaya_Anime.jpg
紋ジロウ,N/A,Chapter 926; Episode 918,Kozuki Family; Ninja-Pirate-Mink-Samurai Alliance,N/A,N/A,N/A,N/A,N/A,"Monjiro is a samurai who allied with the Kozuki Family. After waiting 20 years for the return of the Nine Red Scabbards, he affiliated with the Ninja-Pirate-Mink-Samurai Alliance to raid Onigashima.",N/A,https://onepieceql.s3.amazonaws.com/Monjiro_Anime.jpg
パンダウーマン美,Pandawomanmi,Chapter 517; Episode 409,Easter egg,Calm Belt (Amazon Lily),N/A,February 29th,N/A,N/A,Pandawoman is the female version of Pandaman. She first appeared in the Amazon Lily Arc where Pandaman would not be allowed (as men are forbidden on Amazon Lily).,N/A,https://onepieceql.s3.amazonaws.com/Pandawoman_Manga.jpg
モルガンズ,Morgans,Chapter 860; Episode 828 (silhouette); Episode 830 (actual),World Economy News Paper; Underworld,Grand Line,53,July 14th,XF,N/A,"""Big News"" Morgans is the president of the World Economy News Paper and one of the emperors of the Underworld.","Tori Tori no Mi, Model: Albatross",https://onepieceql.s3.amazonaws.com/Morgans_Anime.jpg
オラン,Oran,"Chapter 391, Episode 275",N/A,N/A,N/A,N/A,N/A,N/A,"Oran was the husband of Roji, the father of Mizuira, the younger brother of Nico Olvia and the maternal uncle of Nico Robin.",N/A,https://onepieceql.s3.amazonaws.com/Oran_Anime.jpg
クリーク,Krieg,Chapter 45; Episode 21,Krieg Pirates,East Blue,42 (debut) 44 (after timeskip),September 19th,XF,"17,000,000","Don Krieg is the admiral of the Krieg Pirates and an infamous pirate of East Blue. Because of his underhanded methods and domination over a fleet of 50 pirate ships, he is infamously known as Foul-Play Krieg and Pirate Fleet Admiral.",N/A,https://onepieceql.s3.amazonaws.com/Krieg_Anime.jpg
パンクータ・ダケヤン,Justy Tinbread,Chapter 525; Episode 422,N/A,Grand Line,N/A,June 29th,N/A,N/A,Pankuta Dakeyan is a prisoner in Impel Down.,N/A,https://onepieceql.s3.amazonaws.com/Pankuta_Dakeyan_Anime.jpg
オニグモ,Onigumo,Chapter 420; Episode 302,Marines,N/A,N/A,February 8th,N/A,N/A,"Vice Admiral Onigumo is a Marine officer, and one of the five vice admirals who led the Buster Call on Enies Lobby. His name was revealed in the third databook.",N/A,https://onepieceql.s3.amazonaws.com/Onigumo_Anime.jpg
パンジー,Pansy,Chapter 515; Episode 409,Kuja,Calm Belt (Amazon Lily),N/A,July 20th,N/A,N/A,Pansy is a member of the Kuja tribe.,N/A,https://onepieceql.s3.amazonaws.com/Pansy_Anime.jpg
クマシー,Kumacy,Chapter 449; Episode 343,Thriller Bark Pirates (Perona),N/A,N/A,September 4th,N/A,N/A,Kumashi was a stuffed bear zombie of the Thriller Bark Pirates who acted as Perona's servant and the commander-in-chief of the Wild Zombies prior to being purified by Usopp.,N/A,https://onepieceql.s3.amazonaws.com/Kumashi_Anime.jpg
パンドラ,Pandora,"Chapter 867, Episode 837",Carmel,N/A,N/A,N/A,N/A,N/A,"Pandora is a sun homie that was created by Carmel, who placed a portion of her soul into a fire on Elbaf with the power of the Soru Soru no Mi.",N/A,https://onepieceql.s3.amazonaws.com/Pandora_Anime.jpg
"どーも君, ンーケ君","Domo-kun, Nnke-kun",God's Gift for the Future; Chapter 9,N/A,N/A,N/A,January 30th (Domo-kun),N/A,N/A,Domo-kun and Nnke-kun are aliens planning to conquer the Earth. They are the first joke characters created by Oda. They first appeared in Oda's short story God's Gift for the Future. Later Domo-kun makes an appearance among the Buggy Pirates. Oda answered a question in an SBS and drew both of them. Nnke-kun appeared again alongside Pandaman on the cover of Volume 52.,N/A,https://onepieceql.s3.amazonaws.com/Domo-kun_and_Nnke-kun_Manga.jpg
ドウナンノヨ,N/A,Chapter 926; Episode 919,Beasts Pirates,N/A,N/A,N/A,N/A,N/A,Donannoyo is a Waiter of the Beasts Pirates who serves as a guard in the Prisoner Mine of the Udon region of Wano Country.,N/A,https://onepieceql.s3.amazonaws.com/Donannoyo_Anime.jpg
ドミノ,Domino,Chapter 526; Episode 422,Impel Down,Grand Line,N/A,October 30th,N/A,N/A,Domino is the Head Jailer of Impel Down serving under Warden Hannyabal.,N/A,https://onepieceql.s3.amazonaws.com/Domino_Manga_Post_Timeskip.jpg
パシア,Pasia (Viz); Pashia (Funimation),Chapter 501; Episode 394,N/A,South Blue,20 (debut),February 21st,N/A,N/A,"Pascia is a female dancer, who was to be sold at the Auction House.",N/A,https://onepieceql.s3.amazonaws.com/Pascia_Anime.jpg
ドンキーノ,Donkino,Chapter 966; Episode 959,Roger Pirates,N/A,N/A,N/A,N/A,N/A,Donquino was a member of the Roger Pirates.,N/A,https://onepieceql.s3.amazonaws.com/Donquino_Anime.jpg
パッパグ,Pappagu; Pappag (WT100),Chapter 195 (cover); Episode 385,Criminal brand; Takoyaki 8,"Grand Line (Ryugu Kingdom, Fish-Man Island)",31 (debut) 33 (after timeskip),September 21st,XF,N/A,Pappag is a starfish who is Camie's pet and teacher. He is the creator of the Criminal fashion line and is mentoring Camie to be a fashion designer.,N/A,https://onepieceql.s3.amazonaws.com/Pappag_Anime_Post_Timeskip.jpg
ドーマ,Doma,Chapter 551; Episode 460,Subordinate of the Whitebeard Pirates,N/A,N/A,February 1st,N/A,N/A,"""Bohemian Knight"" Doma is an infamous New World pirate who worked for Whitebeard.",N/A,https://onepieceql.s3.amazonaws.com/Doma_Anime.jpg
シャーロット・ダクワーズ,Charlotte Dacquoise,Chapter 854; Episode 822,Charlotte Family; Big Mom Pirates,N/A,32,N/A,N/A,N/A,"Charlotte Dacquoise is the 24th son and 41st child of the Charlotte Family and an officer of the Big Mom Pirates. He also serves as Totto Land's Minister of Jam (ジャム大臣, Jamu Daijin?), governing over Jam Island.",N/A,https://onepieceql.s3.amazonaws.com/Charlotte_Dacquoise_Anime.jpg
パティ,Patty,Chapter 44; Episode 21,Baratie,East Blue,27 (debut) 29 (after timeskip),March 12th,X,N/A,"Patty is one of the main cooks at the Baratie, currently serving as the restaurant's head pâtissier.",N/A,https://onepieceql.s3.amazonaws.com/Patty_Manga_Post_Timeskip.jpg
シャーロット・ドシャ,Charlotte De-Chat,Chapter 845; Episode 809,Charlotte Family,N/A,11,N/A,N/A,N/A,Charlotte De-Chat is the 44th son and the 81st child of the Charlotte Family. He is a hybrid between a human and a fish-man.,N/A,https://onepieceql.s3.amazonaws.com/Charlotte_De-Chat_Anime.jpg
黒駒,Kurokoma,Chapter 960 (mentioned),Kurokoma Family‎,N/A,N/A,N/A,N/A,N/A,"Kurokoma was a yakuza of the Flower Capital in Wano Country. Forty-one years before the present day, he was the head of his family.",N/A,https://onepieceql.s3.amazonaws.com/Kurokoma_Manga.jpg
パウリー,"Paulie (FUNimation, Viz); Pauly (Unlimited Adventure)",Chapter 323; Episode 230,Galley-La Company,Grand Line (Water 7),24 (debut) 26 (after timeskip),July 8th,S,N/A,"Paulie is the current vice president of the Galley-La Company in Water 7. Before being promoted, he was one of the five Dock One foremen, specializing in rigging, knots, and masts.",N/A,https://onepieceql.s3.amazonaws.com/Paulie_Manga_Post_Timeskip.jpg
ゴロー,Goro,Chapter 316 (cover); One Piece: Stampede,Ukkari Hot-Spring Island,N/A,N/A,November 26th,N/A,N/A,Goro is Toto's younger brother and Koza's paternal uncle. He appeared in Gedatsu's cover story.,N/A,https://onepieceql.s3.amazonaws.com/Goro_Anime.jpg
タララン,"Taralan (Viz Manga), Tararan (Funimation dub)",Chapter 452; Episode 346,Thriller Bark Pirates,N/A,N/A,N/A,N/A,N/A,"Tararan was a General Zombie and the Commander of the Spider Mice on Thriller Bark. He was the one that had caught the Thousand Sunny in his webs, forcing the Straw Hat Pirates to enter the island.",N/A,https://onepieceql.s3.amazonaws.com/Tararan_Anime.jpg
リリー,Lily,Chapter 223; Episode 146,Bellamy Pirates,N/A,N/A,N/A,N/A,N/A,Lily was a member of the Bellamy Pirates. She was first seen with Sarquiss on Jaya Island. She was the only member of the minor crew members in Bellamy's crew that was openly named. Lily appeared in most of the events the crew were involved with during the Jaya Arc. She was last seen when Doflamingo came to punish Bellamy.,N/A,https://onepieceql.s3.amazonaws.com/Lily_Anime.jpg
マーカス・マーズ聖,St. Marcus Mars,Chapter 233; Episode 151,Five Elders; World Nobles,N/A,N/A,N/A,N/A,N/A,"Saint Marcus Mars is one of the Five Elders who publicly head the World Government, holding the title of Warrior God of Environment.",N/A,https://onepieceql.s3.amazonaws.com/Marcus_Mars_Anime.jpg
ピーマン,Pepper Pieman (Odex),Chapter 23; Episode 9,Usopp Pirates (disbanded),East Blue (Gecko Islands),9 (debut) 11 (after timeskip),April 9th,XF,N/A,"Piiman is a former member of the Usopp Pirates, along with Ninjin and Tamanegi, from before Usopp joined the Straw Hat Pirates.",N/A,https://onepieceql.s3.amazonaws.com/Piiman_Manga_Post_Timeskip.jpg
桃ひげ,Peachbeard,Chapter 904; Episode 880,Peachbeard Pirates; Blackbeard Pirates,N/A,N/A,March 27th,N/A,"52,000,000","Peachbeard is the epithet of the captain of the Peachbeard Pirates, who are subordinates of the Emperor Blackbeard.",N/A,https://onepieceql.s3.amazonaws.com/Peachbeard_Anime.jpg
ラクヨウ,Rakuyo,Chapter 553; Episode 461,Whitebeard Pirates,South Blue,Over 30,September 8th,N/A,N/A,N/A,N/A,https://onepieceql.s3.amazonaws.com/Rakuyo_Anime.jpg
ランポー,Rampo,Chapter 711; Episode 641,Tontatta Kingdom; Tontatta Pirates; Straw Hat Grand Fleet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://onepieceql.s3.amazonaws.com/Rampo_Anime.jpg
六鬼ロッキ,Rokki,Chapter 1036; Episode 1063,Beasts Pirates (Numbers),N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://onepieceql.s3.amazonaws.com/Rokki_Anime.jpg
ロロノア・ゾロ,"Roronoa Zoro (Uncut dub, Early VIZ manga); Roronoa Zolo (Edited dub, VIZ Media, 4Kids)",Chapter 3; Episode 1,Straw Hat Pirates; Straw Hat Grand Fleet; Shimotsuki Family (descended); Ninja-Pirate-Mink-Samurai Alliance (disbanded),East Blue,19 (debut) 21 (after timeskip),November 11th,XF,"1,111,000,000 320,000,000 120,000,000 60,000,000","Roronoa Zoro, also known as ""Pirate Hunter"" Zoro, is a main combatant of the Straw Hat Pirates, one of their two swordsmen, one of the Senior Officers of the Straw Hat Grand Fleet, and is publicly recognized as the right-hand man of his crew's captain Monkey D. Luffy. Formerly a bounty hunter, he is the second member of Luffy's crew and the first to join it, doing so in the Romance Dawn Arc.",N/A,https://onepieceql.s3.amazonaws.com/Roronoa_Zoro_Anime_Post_Timeskip.jpg
マーガレット,"Marguerite (VIZ), Margaret (Funimation)",Chapter 514; Episode 408,Kuja; Kuja Pirates,Calm Belt (Amazon Lily),16 (debut) 18 (after timeskip),April 9th,F,N/A,"Marguerite is a member of the Kuja tribe living on the island of Amazon Lily. She, along with Aphelandra and Sweet Pea, saved Luffy after he ate mushrooms that completely covered his body. During the timeskip, she became a member of the Kuja Pirates.",N/A,https://onepieceql.s3.amazonaws.com/Marguerite_Anime.jpg
イーザンバロン・Vブイ・ナス寿郎聖,St. Ethanbaron V. Nusjuro,Chapter 233; Episode 151,Five Elders; World Nobles,N/A,N/A,N/A,N/A,N/A,"Saint Ethanbaron V. Nusjuro is one of the Five Elders who publicly head the World Government, holding the title Warrior God of Finance.",N/A,https://onepieceql.s3.amazonaws.com/Ethanbaron_V._Nusjuro_Anime.jpg
ナコー,Nako,Chapter 77; Episode 32,N/A,East Blue (Conomi Islands),N/A,July 1st,N/A,N/A,N/A,N/A,https://onepieceql.s3.amazonaws.com/Nako_Anime.jpg
犬飼,N/A,Chapter 932; Episode 926,N/A,N/A,N/A,N/A,N/A,N/A,Inukai is a Wano Country official.,N/A,https://onepieceql.s3.amazonaws.com/Inukai_Anime.jpg
エリオ,Elio,Chapter 967; Episode 959,Roger Pirates,N/A,N/A,N/A,N/A,N/A,Erio was a member of the Roger Pirates until the crew's dissolution. His current whereabouts and status are unknown.,N/A,https://onepieceql.s3.amazonaws.com/Erio_Anime.jpg
お蝶々,N/A,Chapter 921; Episode 912,N/A,N/A,N/A,N/A,N/A,N/A,O-Chocho is a woman who lives in Okobore Town in Wano Country.,N/A,https://onepieceql.s3.amazonaws.com/Chocho_Anime.jpg
オーズ,Oars,Chapter 456; Episode 350,Thriller Bark Pirates,North Blue,N/A,October 4th,F,N/A,Oars the Continent-Puller was an infamous ancient giant who was born over 500 years prior to the current storyline.,N/A,https://onepieceql.s3.amazonaws.com/Oars_Anime.jpg
ファルル,Farul,Chapter 722; Episode 634,Beautiful PiratesStraw Hat Grand Fleet,N/A,N/A,August 29th,N/A,N/A,Farul is Cavendish's pet horse and a member of the Beautiful Pirates.,N/A,https://onepieceql.s3.amazonaws.com/Farul_Anime.jpg
ファラフラ,Falafra (Viz); Faracia (FUNimation),Chapter 167; Episode 105,Arabasta; Rebel Army (former),N/A,N/A,N/A,N/A,N/A,Farafra was a member of the Rebel Army led by Koza along with Erik. He lost his right arm and right shoulder while protecting Koza during an enemy attack.,N/A,https://onepieceql.s3.amazonaws.com/Farafra_Manga_Post_Timeskip.jpg
王直,Wang Zhi,Chapter 957; Episode 958 (mentioned),Rocks Pirates (former),N/A,N/A,N/A,N/A,N/A,"Ochoku is a former member of the Rocks Pirates and one of the participants of the Rocky Port Incident. They were also the previous ruler of Hachinosu, before Blackbeard took over and became the island's current ruler.",N/A,https://onepieceql.s3.amazonaws.com/NoPicAvailable.jpg
きせ川,Kisegawa,Chapter 929; Episode 922,N/A,N/A,N/A,N/A,N/A,N/A,Kisegawa is a geisha from the Flower Capital of Wano Country. She once possessed the blueprints of Kaidou's fortress on Onigashima.,N/A,https://onepieceql.s3.amazonaws.com/Kisegawa_Anime.jpg
クロ沢,N/A,Chapter 920; Episode 911,Kozuki Family; Ninja-Pirate-Mink-Samurai Alliance,N/A,N/A,N/A,N/A,N/A,"Kurosawa is a samurai who allied with the Kozuki Family. After waiting 20 years for the return of the Nine Red Scabbards, he affiliated with the Ninja-Pirate-Mink-Samurai Alliance to raid Onigashima.",N/A,https://onepieceql.s3.amazonaws.com/Kurosawa_Anime.jpg
ファウスト,Faust,Chapter 508; Episode 490,Hawkins Pirates,North Blue,N/A,December 13th,N/A,N/A,"Faust is a cat mink from North Blue and a member of the Hawkins Pirates, serving as the crew's magician.",N/A,https://onepieceql.s3.amazonaws.com/Faust_Anime.jpg
ライオンブタ,N/A,Chapter 22; Episode 18,Animals of the Island of Rare Animals,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://onepieceql.s3.amazonaws.com/Lionbuta_Anime.jpg
高尾,N/A,Chapter 927; Episode 921,Komurasaki,N/A,N/A,N/A,N/A,N/A,"Takao, also known as O-Taka (お高?), is a kamuro living in the Flower Capital of Wano Country who attended to the oiran Komurasaki alongside Toko.",N/A,https://onepieceql.s3.amazonaws.com/Takao_Anime.jpg
キリンタウロス,Kirintauros,Chapter 658; Episode 582,Caesar Clown; Centaur Patrol Unit,N/A,N/A,N/A,N/A,N/A,Kirintauros is a giraffe centaur and member of the Centaur Patrol Unit on Punk Hazard.,N/A,https://onepieceql.s3.amazonaws.com/Kirintauros_Anime.jpg
セリザワ,N/A,Chapter 915 (cover),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://onepieceql.s3.amazonaws.com/Serizawa_Manga.jpg
黒炭ひぐらし,Kurozumi Higurashi,Chapter 965; Episode 965,Wano Country (Kurozumi Family),N/A,N/A,N/A,N/A,N/A,Kurozumi Higurashi was a member of the Kurozumi Family and a major supporter of Kurozumi Orochi. She was killed by Kaidou for her interruption in his fight with Kozuki Oden.,Mane Mane no Mi,https://onepieceql.s3.amazonaws.com/Kurozumi_Higurashi_Anime.jpg
